y_t,t_1,t_2,Us_Dollar_Index,US10YY,US2YY,Unemployment_Rate,CPI,PMI_Index,VIX_Index,EFFR,gold,Nfarm
2104.50,1994.99,2058.90,94.80,1.639,0.453,5.60,0.80,55.50,21.02,0.06,1282.80,257
2067.89,2104.50,1994.99,95.32,1.997,0.622,5.70,-0.10,53.50,15.82,0.06,1212.55,295
2085.51,2067.89,2104.50,98.36,1.927,0.559,5.50,0.00,52.90,16.27,0.06,1183.10,126
2107.39,2085.51,2067.89,94.60,2.035,0.575,5.50,-0.10,51.50,15.52,0.08,1183.85,223
2063.11,2107.39,2085.51,96.91,2.123,0.609,5.40,-0.20,51.50,14.63,0.08,1189.75,280
2103.84,2063.11,2107.39,95.49,2.349,0.645,5.50,0.00,52.80,17.33,0.08,1172.20,223
1972.18,2103.84,2063.11,97.34,2.187,0.669,5.30,0.10,53.50,13.98,0.08,1095.40,215
1920.03,1972.18,2103.84,95.82,2.214,0.739,5.30,0.20,52.70,26.42,0.08,1134.10,173
2079.36,1920.03,1972.18,96.35,2.035,0.629,5.10,0.20,51.10,23.02,0.07,1114.60,142
2080.41,2079.36,1920.03,96.95,2.146,0.728,5.10,0.00,50.20,16.63,0.07,1142.00,271
2043.94,2080.41,2079.36,100.17,2.208,0.934,5.00,0.20,50.10,16.98,0.08,1064.02,211
1940.24,2043.94,2080.41,98.63,2.269,1.052,5.00,0.50,48.60,18.52,0.20,1060.91,292
1932.23,1940.24,2043.94,99.61,1.923,0.778,5.00,0.70,48.20,21.63,0.29,1117.64,151
2059.74,1932.23,1940.24,98.21,1.738,0.785,4.90,1.40,48.20,21.77,0.29,1237.76,242
2065.30,2059.74,1932.23,94.59,1.770,0.725,4.90,1.00,49.50,15.93,0.25,1231.95,215
2096.96,2065.30,2059.74,93.08,1.835,0.782,5.00,0.90,51.80,16.88,0.30,1293.36,160
2098.86,2096.96,2065.30,95.89,1.851,0.883,5.00,1.10,50.80,15.27,0.29,1214.69,38
2173.60,2098.86,2096.96,96.14,1.475,0.586,4.70,1.00,51.30,16.98,0.30,1321.78,287
2170.95,2173.60,2098.86,95.53,1.450,0.659,4.90,1.00,53.20,13.82,0.30,1350.59,255
2168.27,2170.95,2173.60,96.02,1.578,0.809,4.90,0.80,52.60,14.57,0.30,1308.45,151
2126.15,2168.27,2170.95,95.46,1.598,0.766,4.90,1.10,49.40,15.77,0.29,1315.80,156
2198.81,2126.15,2168.27,98.44,1.826,0.845,5.00,1.50,51.50,17.23,0.31,1277.28,161
2238.83,2198.81,2126.15,101.50,2.390,1.119,4.90,1.60,51.90,14.52,0.31,1172.70,178
